SKU,QTY,Cost
ASH4668519AE,4.0,56.080213
ASH4670026AB,1.0,21.97
ASH4684442,2.0,5.991876
ASH4726067AAS,6.0,2.66
ASH4743044AA,2.0,3.760514
ASH4743094AA,1.0,11.3
ASH4779885AB,4.0,12.34
ASH4782561AE,4.0,17.871601
ASH4796016,3.0,15.59
ASH4796233AB,1.0,4.43
ASH48609-42020,1.0,16.09
ASH4891967AC,2.0,3.65
ASH5006759AB,2.0,16.15
ASH5006781AB,5.0,17.88
ASH5015610AC,3.0,2.733136
ASH5018063AA,1.0,3.886615
ASH5066780AA,4.0,6.35
ASH5066976AA,1.0,52.791638
ASH5072440AB,6.0,21.01
ASH5072669AA,14.0,37.75
ASH5074168AD,2.0,3.485629
ASH5086581AA,5.0,42.468733
ASH5093911AB,7.0,37.633184
ASH510057,1.0,6.901022
ASH510058,4.0,5.975144
ASH510090,2.0,12.33
ASH5106023AA,1.0,95.22
ASH5106043AB,3.0,16.629828
ASH5118C,1.0,21.129246
ASH512167,1.0,15.81
ASH512170,1.0,33.516662
ASH512302,5.0,34.845503
ASH513123,1.0,30.773538
ASH513177,2.0,55.91675
ASH513225,2.0,44.200131
ASH513234,4.0,54.4
ASH513272,10.0,38.342637
ASH513273,8.0,54.4
ASH513349,1.0,37.88
ASH5160017AB,2.0,3.485629
ASH5175580AA,2.0,9.98
ASH51962485,2.0,23.8
ASH51963547,2.0,12.53
ASH51963548,2.0,36.75
ASH52088217AB,2.0,14.989826
ASH52088425,1.0,2.75
ASH52088524,1.0,4.730428
ASH52124302AA,2.0,1.580374
ASH52124302AC,1.0,1.95
ASH52124762AB,2.0,27.593321
ASH52128879AA,1.0,13.9743
ASH52128880AA,1.0,16.827296
ASH5273431AB,1.0,34.346026
ASH5273996AE,3.0,21.09
ASH53000C,2.0,20.087411
ASH53004C,2.0,19.429321
ASH53024,4.0,25.16
ASH53026C,4.0,27.910411
ASH53036,8.0,4.97
ASH53040C,4.0,17.18328
ASH53043C,6.0,11.343279
ASH53068C,2.0,14.227277
ASH5329,2.0,7.02
ASH5363XS,1.0,0.0
ASH5370,6.0,5.73
ASH5373C,2.0,16.911866
ASH55036,4.0,7.1
ASH55056C,2.0,43.611514
ASH55057C,3.0,36.62593
ASH55362108AC,2.0,4.272361
ASH55394323AA,2.0,5.241214
ASH5586XS,2.0,13.165535
ASH57010050AC,6.0,3.377715
ASH5704C,2.0,12.437622
ASH5797,6.0,16.89
ASH594341,1.0,22.804977
ASH60-09-992C,2.0,24.443339
ASH62-00-023,1.0,18.414415
ASH62-09-908,1.0,17.17
ASH62-09-913,2.0,17.97
ASH62-09-920,21.0,14.795407
ASH6700098,2.0,6.44
ASH6700099,2.0,11.05
ASH6746,1.0,2.422355
ASH68-00-002,2.0,36.5
ASH6800007,3.0,33.63
ASH68000800AA,3.0,1.58
ASH68027359AA,5.0,22.899517
ASH68029524AA,2.0,8.838175
ASH68059904AD,1.0,280.69
ASH68061353AA,2.0,3.68198
ASH68061369AA,2.0,3.714278
ASH68144427AB,2.0,17.42
ASH68157161AB,1.0,24.21
ASH68225170AB,2.0,9.81
ASH68291856AA,1.0,10.65
ASH68294938AA,1.0,41.87
ASH71282,1.0,16.829812
ASH71377,3.0,16.488793
ASH71565,1.0,15.97714
ASH71572,1.0,27.42
ASH71577,4.0,13.65
ASH71592,3.0,25.35928
ASH71736717,1.0,23.27
ASH71775824,5.0,5.05
ASH72248R,1.0,17.143124
ASH72367,6.0,28.852757
ASH72368,9.0,27.42
ASH72368ST,1.0,72.45
ASH72401,8.0,14.172171
ASH72509,2.0,25.96
ASH72510,6.0,24.349327
ASH7497,1.0,6.73
ASH7570,3.0,10.3
ASH7703,9.0,11.857607
ASH77367213,3.0,10.71
ASH77367417,1.0,10.51
ASH7807704,2.0,37.91
ASH7876,2.0,16.15
ASH80871,3.0,19.5
ASH81057,1.0,23.54
ASH82208300-K,2.0,2.325478
ASH900028,20.0,3.442464
ASH901382,2.0,5.0
ASH902907,4.0,7.0
ASH902908,4.0,7.15
ASH902945,13.0,12.01
ASH902946,4.0,5.781355
ASH9036936043EUR,1.0,29.79
ASH903924,2.0,9.69
ASH903926,4.0,11.458148
ASH905902,1.0,9.291079
ASH905903,2.0,9.291079
ASH905922,6.0,11.568405
ASH905966,2.0,11.533793
ASH905967,2.0,12.29
ASH905968,2.0,12.29
ASH907994,4.0,10.93
ASH908984,2.0,13.34
ASH911527,2.0,18.15
ASH92-00-002,4.0,43.952577
ASH92-00-012,2.0,54.29
ASH92-00-015,2.0,72.45
ASH92-09-914,1.0,71.147847
ASH9644,1.0,12.461925
ASH96626076,1.0,10.67
ASHA10,2.0,5.26
ASHALS1120,1.0,9.01
ASHALS1133,3.0,11.785898
ASHALS1931,5.0,11.794534
ASHALS2008,2.0,9.356163
ASHALS2084,4.0,7.781713
ASHALS2088,2.0,6.78
ASHALS210,6.0,9.856837
ASHALS252,7.0,9.753081
ASHALS49,2.0,11.79
ASHALS61,1.0,9.52
ASHALS72,1.0,8.27
ASHALS77,2.0,14.21
ASHAW5097,3.0,18.63
ASHAW6010,2.0,22.285573
ASHAW6231,3.0,16.77
ASHAW7121,1.0,14.08
ASHAW7136,1.0,26.08
ASHAW7150,2.0,9.73
ASHAW7153,1.0,16.791453
ASHAW7156,1.0,15.03
ASHAW7161,4.0,26.137946
ASHAW7163,2.0,27.95
ASHAW7164,2.0,22.834738
ASHAW7165,1.0,18.67
ASHB701,3.0,6.885
ASHB761,1.0,8.19
ASHB771,2.0,13.51
ASHB774,2.0,13.350319
ASHB777,3.0,8.199409
ASHB807,3.0,8.924506
ASHB810,3.0,10.66
ASHB843,3.0,9.338056
ASHB886,1.0,11.2
ASHB908,3.0,13.49
ASHB941,2.0,8.944144
ASHB986,8.0,11.935
ASHBC94368,4.0,4.77
ASHBC94573,3.0,6.2
ASHBC95103,4.0,6.307238
ASHBC95104,2.0,6.307238
ASHBC95342,9.0,4.966631
ASHBC95344L,1.0,6.517479
ASHBC95344R,1.0,6.79
ASHBC95347,2.0,6.67516
ASHBC95421,1.0,4.54
ASHBC95425,2.0,6.019001
ASHBC95522,1.0,7.12
ASHBC95533,1.0,6.588517
ASHBC95998,1.0,7.470445
ASHBC96001,1.0,6.46
ASHBC96101,2.0,6.46
ASHBC96125,1.0,7.470445
ASHBC96681,2.0,5.810346
ASHBH383524,2.0,18.185868
ASHBT163,2.0,3.67
ASHC660319,3.0,4.297551
ASHCA10118,1.0,3.85
